notes_clean,injured,activated,days_injured,injury_type,injury_duration,player_name,year_end,position,height,weight,college,career_length,prior_injuries
placed on il with right knee inflammation,2022-01-06,2022-03-24,77.0,joint,long,Larry Nance Jr.,2022,F-C,6-7,245.0,Wyoming,7,18
placed on il with right knee injury,2022-03-27,2022-03-30,3.0,joint,short,Larry Nance Jr.,2022,F-C,6-7,245.0,Wyoming,7,19
placed on il with left knee injury,2022-11-09,2022-11-10,1.0,joint,short,Larry Nance Jr.,2022,F-C,6-7,245.0,Wyoming,7,20
placed on il with sore right shoulder,2022-11-28,2022-11-30,2.0,joint,short,Larry Nance Jr.,2022,F-C,6-7,245.0,Wyoming,7,21
placed on il with sprained left ankle,2023-02-26,2023-03-12,14.0,joint,medium,Larry Nance Jr.,2022,F-C,6-7,245.0,Wyoming,7,22
placed on il with right knee patella tendinitis,2001-10-29,2001-11-24,26.0,joint,medium,Larry Robinson,2002,F-G,6-3,180.0,Centenary (LA),12,0
placed on il with right knee patella tendinitis,2001-11-26,2002-01-12,47.0,joint,long,Larry Robinson,2002,F-G,6-3,180.0,Centenary (LA),12,1
placed on il with right knee patella tendinitis,2002-01-19,2002-04-12,83.0,joint,long,Larry Robinson,2002,F-G,6-3,180.0,Centenary (LA),12,2
placed on il with illness,2013-01-30,2013-02-01,2.0,illness,short,Larry Sanders,2017,C-F,6-11,235.0,VCU,7,0
placed on il with knee injury,2013-03-10,2013-03-12,2.0,joint,short,Larry Sanders,2017,C-F,6-11,235.0,VCU,7,1
placed on il recovering from surgery on right thumb to repaor torn ligament,2013-11-15,2013-12-27,42.0,joint,medium,Larry Sanders,2017,C-F,6-11,235.0,VCU,7,2
placed on il recovering from surgery to repair fractured orbital bone,2014-02-18,2014-04-09,50.0,bone,long,Larry Sanders,2017,C-F,6-11,235.0,VCU,7,3
placed on ir with stress fracture in right heel,1999-02-10,1999-03-05,23.0,bone,medium,Latrell Sprewell,2005,G,6-5,190.0,Alabama,13,0
placed on il with fractured right pinky finger,2002-10-28,2002-11-16,19.0,bone,medium,Latrell Sprewell,2005,G,6-5,190.0,Alabama,13,1
placed on il with sprained right elbow,2018-10-18,2018-12-01,44.0,joint,medium,Lauri Markkanen,2022,F-C,7-0,240.0,Arizona,5,0
placed on il with sprained right shoulder,2021-02-06,2021-03-11,33.0,joint,medium,Lauri Markkanen,2022,F-C,7-0,240.0,Arizona,5,1
placed on il with illness,2021-04-30,2021-05-01,1.0,illness,short,Lauri Markkanen,2022,F-C,7-0,240.0,Arizona,5,2
placed on il with sprained right ankle,2022-01-23,2022-02-24,32.0,joint,medium,Lauri Markkanen,2022,F-C,7-0,240.0,Arizona,5,3
placed on il with sore right ankle,2022-03-12,2022-03-14,2.0,joint,short,Lauri Markkanen,2022,F-C,7-0,240.0,Arizona,5,4
placed on il with illness,2022-12-07,2022-12-13,6.0,illness,short,Lauri Markkanen,2022,F-C,7-0,240.0,Arizona,5,5
placed on il with sore right knee,2023-02-15,2023-02-23,8.0,joint,medium,Lauri Markkanen,2022,F-C,7-0,240.0,Arizona,5,6
placed on il with strained lower back,2001-01-19,2001-02-01,13.0,muscle,medium,Lavor Postell,2003,G,6-5,215.0,St. John's,3,0
placed on ir with bruised left ankle,2002-04-12,2002-07-01,80.0,joint,long,Lavor Postell,2003,G,6-5,215.0,St. John's,3,1
placed on il with arthroscopic knee surgery,2002-10-28,2002-12-02,35.0,joint,medium,Lavor Postell,2003,G,6-5,215.0,St. John's,3,2
placed on il with left knee tendinitis,2003-03-07,2003-04-08,32.0,joint,medium,Lavor Postell,2003,G,6-5,215.0,St. John's,3,3
placed on il with strained right knee,2015-01-31,2015-02-08,8.0,muscle,medium,Lavoy Allen,2017,F-C,6-9,260.0,Temple,6,0
placed on il with sore right knee,2017-02-15,2017-02-24,9.0,joint,medium,Lavoy Allen,2017,F-C,6-9,260.0,Temple,6,1
placed on il with sore right knee,2017-03-05,2017-03-08,3.0,joint,short,Lavoy Allen,2017,F-C,6-9,260.0,Temple,6,2
placed on il with sore left knee,2017-03-15,2017-03-19,4.0,joint,short,Lavoy Allen,2017,F-C,6-9,260.0,Temple,6,3
placed on il with strained right rotator cuff,1997-12-20,1998-02-20,62.0,muscle,long,Lawrence Funderburke,2005,F,6-9,230.0,"Indiana, Ohio State",8,0
placed on il with strained right knee,2001-01-10,2001-01-21,11.0,muscle,medium,Lawrence Funderburke,2005,F,6-9,230.0,"Indiana, Ohio State",8,1
placed on il with strained left groin,2001-04-18,2001-04-20,2.0,muscle,short,Lawrence Funderburke,2005,F,6-9,230.0,"Indiana, Ohio State",8,2
placed on il with knee injury,2006-12-09,2007-01-12,34.0,joint,medium,Lawrence Roberts,2007,F,6-9,240.0,"Baylor, Mississippi State",2,0
placed on il with flu,2012-04-13,2012-04-14,1.0,illness,short,Lazar Hayward,2013,F,6-6,225.0,Marquette,3,0
placed on il with patella tendinitis in right knee,1999-11-01,1999-11-11,10.0,joint,medium,Lazaro Borrell,2000,F,6-8,220.0,Skipped college,1,0
placed on il with right knee tendinitis,1999-12-11,1999-12-23,12.0,joint,medium,Lazaro Borrell,2000,F,6-8,220.0,Skipped college,1,1
placed on il with right knee patella tendinitis,2000-01-05,2000-03-18,73.0,joint,long,Lazaro Borrell,2000,F,6-8,220.0,Skipped college,1,2
placed on il with sprained left ankle,2006-04-13,2006-04-16,3.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,0
placed on il with sprained left ankle,2006-04-17,2007-01-28,286.0,joint,long,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,1
placed on il with sprained right big toe,2007-01-26,2007-01-28,2.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,2
placed on il with sprained right big toe,2007-01-30,2007-02-01,2.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,3
placed on il with right knee tendinitis,2007-04-01,2007-04-03,2.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,4
placed on il with sprained right ankle,2008-01-31,2008-02-02,2.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,5
placed on il for rest  sore right ankle,2010-03-08,2010-03-12,4.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,6
placed on il with sprained left ankle,2011-01-15,2011-01-18,3.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,7
placed on il with strained right groin,2013-12-28,2013-12-30,2.0,muscle,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,8
placed on il with fractured nose,2014-02-23,2014-02-27,4.0,bone,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,9
placed on il with strained left knee,2014-12-30,2015-01-13,14.0,muscle,medium,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,10
placed on il with strained left groin,2018-12-27,2019-01-31,35.0,muscle,medium,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,11
placed on il with strained left groin,2019-02-02,2019-03-17,43.0,muscle,medium,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,12
placed on il with strained thoracic muscle,2019-12-22,2019-12-25,3.0,muscle,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,13
placed on il with illness,2020-01-11,2020-01-13,2.0,illness,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,14
placed on il with sore left ankle,2021-03-03,2021-03-12,9.0,joint,medium,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,15
placed on il with right high ankle sprain,2021-03-21,2021-04-30,40.0,joint,medium,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,16
placed on il with sore right ankle,2021-05-03,2021-05-15,12.0,joint,medium,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,17
placed on il with strained abdominal,2021-11-04,2021-11-19,15.0,muscle,medium,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,18
placed on il with sore left knee,2022-01-27,2022-02-05,9.0,joint,medium,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,19
placed on il with sore left knee,2022-03-23,2022-03-27,4.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,20
placed on il with sprained left ankle,2022-03-29,2022-04-01,3.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,21
placed on il with sprained left ankle out for season,2022-04-03,2022-11-25,236.0,joint,long,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,22
placed on il with strained left adductor,2022-11-10,2022-11-25,15.0,muscle,medium,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,23
placed on il with sore left ankle,2022-12-07,2022-12-09,2.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,24
placed on il with sore left ankle,2022-12-19,2022-12-21,2.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,25
placed on il with sore left ankle,2023-01-09,2023-01-12,3.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,26
placed on il with sore left ankle,2023-02-09,2023-02-15,6.0,joint,short,LeBron James,2022,F-G,6-9,250.0,Skipped college,19,27
placed on il with right knee tendinitis,1995-11-02,1995-11-15,13.0,joint,medium,LeRon Ellis,1996,F-C,6-9,225.0,"Kentucky, Syracuse",5,0
placed on il with sprained left ankle,2005-01-10,2005-02-04,25.0,joint,medium,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,0
placed on il with sprained left ankle,2005-01-19,2005-02-04,16.0,joint,medium,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,1
placed on il with left knee injury,2005-11-28,2005-12-09,11.0,joint,medium,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,2
placed on il with sprained left ankle,2006-11-24,2006-11-29,5.0,joint,short,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,3
placed on il with sprained left ankle,2009-12-01,2009-12-25,24.0,joint,medium,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,4
placed on il with strained left shoulder,2010-11-10,2010-11-21,11.0,muscle,medium,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,5
placed on il with strained right hamstring,2011-01-24,2011-02-08,15.0,muscle,medium,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,6
placed on il with sore left ankle,2012-01-29,2012-01-31,2.0,joint,short,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,7
placed on il recovering from surgery on left knee to repair torn acl out for season,2013-02-27,2016-01-11,1048.0,joint,long,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,8
placed on il with sprained left big toe  fractured left hand out for season,2014-03-06,2016-01-11,676.0,bone,long,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,9
placed on il with sprained left shoulder,2016-01-02,2016-01-11,9.0,joint,medium,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,10
placed on il with sore right hamstring out for season,2017-03-30,,,muscle,unknown,Leandro Barbosa,2017,G,6-3,194.0,Skipped college,14,11
placed on il with sprained left ankle,2022-01-30,2022-02-06,7.0,joint,short,Leandro Bolmaro,2022,F,6-6,200.0,Skipped college,1,0
placed on il with concussion,2022-11-23,2022-11-30,7.0,concussion,short,Leandro Bolmaro,2022,F,6-6,200.0,Skipped college,1,1
placed on il with sore left shoulder,1995-03-24,1995-04-02,9.0,joint,medium,Ledell Eackles,1998,G-F,6-5,220.0,New Orleans,10,0
placed on il with tendinitis in both knees,1999-03-20,1999-05-05,46.0,joint,long,Lee Mayberry,1999,G,6-1,172.0,Arkansas,7,0
placed on il with right ankle tendinitis right knee tendinitis per e,2000-10-30,2000-11-16,17.0,joint,medium,Lee Nailon,2006,F,6-9,238.0,"Butler County Community College, TCU",6,0
placed on il with left knee tendinitis,2001-04-02,2001-07-23,112.0,joint,long,Lee Nailon,2006,F,6-9,238.0,"Butler County Community College, TCU",6,1
placed on il with sprained right knee,2009-04-03,2009-04-14,11.0,joint,medium,Leon Powe,2011,F,6-8,240.0,California,5,0
placed on il with torn acl and meniscus in left knee out for season,2009-04-23,2010-02-23,306.0,joint,long,Leon Powe,2011,F,6-8,240.0,California,5,1
placed on il recovering from surgery on left knee,2009-10-27,2010-02-23,119.0,joint,long,Leon Powe,2011,F,6-8,240.0,California,5,2
placed on il recovering from surgery on right knee to repair torn meniscus out indefinitely,2011-01-07,2011-02-13,37.0,joint,medium,Leon Powe,2011,F,6-8,240.0,California,5,3
placed on il with strained lower back,1999-11-11,1999-12-10,29.0,muscle,medium,Leon Smith,2004,C,6-10,235.0,Skipped college,3,0
placed on il with sprained left ankle,2006-04-22,2006-04-27,5.0,joint,short,Linas Kleiza,2013,F,6-8,245.0,Missouri,8,0
placed on il with sore right knee,2011-01-26,2011-03-30,63.0,joint,long,Linas Kleiza,2013,F,6-8,245.0,Missouri,8,1
placed on il recovering from microfracture surgery on right knee to repair cartilage damage out for season,2011-04-11,2012-01-11,275.0,bone,long,Linas Kleiza,2013,F,6-8,245.0,Missouri,8,2
placed on il recovering from microfracture surgery on right knee to repair cartilage damage,2011-12-26,2012-01-11,16.0,bone,medium,Linas Kleiza,2013,F,6-8,245.0,Missouri,8,3
placed on il with sore right knee,2012-02-01,2012-02-03,2.0,joint,short,Linas Kleiza,2013,F,6-8,245.0,Missouri,8,4
placed on il with sore left knee,2012-02-17,2012-02-28,11.0,joint,medium,Linas Kleiza,2013,F,6-8,245.0,Missouri,8,5
placed on il with sore right knee,2013-02-10,2013-03-04,22.0,joint,medium,Linas Kleiza,2013,F,6-8,245.0,Missouri,8,6
placed on il with sprained right ankle,2022-03-09,2022-03-14,5.0,joint,short,Lindell Wigginton,2022,G,6-2,189.0,Iowa State,1,0
placed on il with fractured right foot  ankle stats,1994-12-10,1995-03-07,87.0,bone,long,Lindsey Hunter,2010,G,6-2,170.0,"Alcorn State, Jackson State University",17,0
placed on ir with surgery to repair fractured bone in right foot date approximate,1995-01-03,1995-03-07,63.0,bone,long,Lindsey Hunter,2010,G,6-2,170.0,"Alcorn State, Jackson State University",17,1
placed on ir with torn right calf muscle,1997-12-30,1998-01-26,27.0,muscle,medium,Lindsey Hunter,2010,G,6-2,170.0,"Alcorn State, Jackson State University",17,2
placed on il with strained right hamstring,2003-10-28,2003-11-09,12.0,muscle,medium,Lindsey Hunter,2010,G,6-2,170.0,"Alcorn State, Jackson State University",17,3
placed on il with strained mcl in left knee,2003-11-29,2006-02-07,801.0,muscle,long,Lindsey Hunter,2010,G,6-2,170.0,"Alcorn State, Jackson State University",17,4
placed on il with sprained right ankle,2003-10-27,2003-11-07,11.0,joint,medium,Linton Johnson,2009,F,6-8,205.0,Tulane,6,0
placed on il with sprained right ankle,2003-11-18,2003-12-01,13.0,joint,medium,Linton Johnson,2009,F,6-8,205.0,Tulane,6,1
placed on il with sprained left ankle,2004-11-01,2005-03-25,144.0,joint,long,Linton Johnson,2009,F,6-8,205.0,Tulane,6,2
placed on il with sore left ankle,2005-03-30,2005-04-10,11.0,joint,medium,Linton Johnson,2009,F,6-8,205.0,Tulane,6,3
placed on il with left ankle injury,2005-04-13,2005-11-11,212.0,joint,long,Linton Johnson,2009,F,6-8,205.0,Tulane,6,4
placed on il with left knee tendinitis,2004-11-21,2004-12-01,10.0,joint,medium,Lionel Chalmers,2005,G,6-0,180.0,Xavier,1,0
placed on ir with arthroscopic surgery on right knee,1994-11-03,1994-12-15,42.0,joint,medium,Lionel Simmons,1997,F-G,6-7,210.0,La Salle,7,0
placed on il with surgery on right knee,1996-12-21,1997-01-30,40.0,joint,medium,Lionel Simmons,1997,F-G,6-7,210.0,La Salle,7,1
placed on ir with strained right leg,1996-10-31,1996-12-06,36.0,muscle,medium,Litterial Green,1999,G,6-1,185.0,Georgia,7,0
placed on il recovering from arthroscopic surgery on left knee,1985-10-22,1985-12-10,49.0,joint,long,Lonnie Shelton,1986,F-C,6-8,240.0,Oregon State,10,0
placed on il with right knee injury,2018-10-17,2019-02-04,110.0,joint,long,Lonnie Walker IV,2022,G,6-4,204.0,Miami (FL),4,0
placed on il with sprained right ankle,2019-02-07,2019-02-12,5.0,joint,short,Lonnie Walker IV,2022,G,6-4,204.0,Miami (FL),4,1
placed on il with stomach illness,2021-02-05,2021-02-09,4.0,illness,short,Lonnie Walker IV,2022,G,6-4,204.0,Miami (FL),4,2
placed on il with sore right knee,2022-02-04,2022-02-09,5.0,joint,short,Lonnie Walker IV,2022,G,6-4,204.0,Miami (FL),4,3
placed on il with stomach illness,2022-03-07,2022-03-09,2.0,illness,short,Lonnie Walker IV,2022,G,6-4,204.0,Miami (FL),4,4
placed on il with illness,2022-11-07,2022-11-11,4.0,illness,short,Lonnie Walker IV,2022,G,6-4,204.0,Miami (FL),4,5
placed on il with left knee tendinitis,2023-01-25,,,joint,unknown,Lonnie Walker IV,2022,G,6-4,204.0,Miami (FL),4,6
placed on il with left knee tendinitis,2003-01-31,2003-02-12,12.0,joint,medium,Lonny Baxter,2006,F,6-8,260.0,Maryland,4,0
placed on il with right knee tendinitis,2004-02-24,2004-03-31,36.0,joint,medium,Lonny Baxter,2006,F,6-8,260.0,Maryland,4,1
placed on il with right knee tendinitis,2004-03-21,2004-03-31,10.0,joint,medium,Lonny Baxter,2006,F,6-8,260.0,Maryland,4,2
placed on il with sprained left shoulder,2017-12-25,2018-01-05,11.0,joint,medium,Lonzo Ball,2022,G,6-6,190.0,UCLA,5,0
placed on il with soresprained left knee,2018-01-17,2018-02-23,37.0,joint,medium,Lonzo Ball,2022,G,6-6,190.0,UCLA,5,1
placed on il with sore left knee,2018-02-24,2018-02-26,2.0,joint,short,Lonzo Ball,2022,G,6-6,190.0,UCLA,5,2
placed on il with bruised left knee out for season,2018-04-04,2019-11-21,596.0,joint,long,Lonzo Ball,2022,G,6-6,190.0,UCLA,5,3
placed on il with sprained left ankle out for season,2019-01-20,2019-11-21,305.0,joint,long,Lonzo Ball,2022,G,6-6,190.0,UCLA,5,4
placed on il with strained right adductor,2019-11-09,2019-11-21,12.0,muscle,medium,Lonzo Ball,2022,G,6-6,190.0,UCLA,5,5
placed on il with knee injury,2021-01-12,2021-01-19,7.0,joint,short,Lonzo Ball,2022,G,6-6,190.0,UCLA,5,6
placed on il with sore left knee surgery out for season,2022-01-15,,,joint,unknown,Lonzo Ball,2022,G,6-6,190.0,UCLA,5,7
placed on il with strained lower back,1997-03-13,1997-03-25,12.0,muscle,medium,Loren Meyer,1999,C,6-10,257.0,Iowa State,4,0
placed on il with strained lower back,2004-03-04,2004-03-31,27.0,muscle,medium,Loren Woods,2008,F-C,7-1,245.0,"Wake Forest, Arizona",7,0
placed on il with strained lower back,2004-04-12,2006-01-04,632.0,muscle,long,Loren Woods,2008,F-C,7-1,245.0,"Wake Forest, Arizona",7,1
placed on il with sprained left shoulder,2005-03-25,2006-01-04,285.0,joint,long,Loren Woods,2008,F-C,7-1,245.0,"Wake Forest, Arizona",7,2
placed on il with sprained left ankle,1998-03-03,1998-03-13,10.0,joint,medium,Lorenzen Wright,2009,F-C,6-11,225.0,Memphis,13,0
placed on il with a sprained right thumb,2001-03-09,2001-03-19,10.0,joint,medium,Lorenzen Wright,2009,F-C,6-11,225.0,Memphis,13,1
placed on ir with fractured bone in left knee out indefinitely,2001-12-06,2002-02-14,70.0,bone,long,Lorenzen Wright,2009,F-C,6-11,225.0,Memphis,13,2
placed on il with sprained right thumb,2003-04-08,2005-11-19,956.0,joint,long,Lorenzen Wright,2009,F-C,6-11,225.0,Memphis,13,3
placed on il with strained right knee,2004-03-06,2005-11-19,623.0,muscle,long,Lorenzen Wright,2009,F-C,6-11,225.0,Memphis,13,4
placed on il with bruised left knee,2006-01-18,2006-01-20,2.0,joint,short,Lorenzen Wright,2009,F-C,6-11,225.0,Memphis,13,5
placed on il with flulike symptoms,2007-03-23,2007-03-25,2.0,illness,short,Lorenzen Wright,2009,F-C,6-11,225.0,Memphis,13,6
placed on ir with fractured orbit bone eye socket,1996-02-01,1996-02-19,18.0,bone,medium,Lorenzo Williams,2000,F-C,6-9,200.0,Stetson University,8,0
placed on il with left knee tendinitis irritated miniscus per stats,1996-11-08,1997-01-02,55.0,joint,long,Lorenzo Williams,2000,F-C,6-9,200.0,Stetson University,8,1
placed on ir with tendinitis in left quadricep,1997-01-29,1997-02-14,16.0,muscle,medium,Lorenzo Williams,2000,F-C,6-9,200.0,Stetson University,8,2
placed on ir with tendinitis in left quadricep,1997-03-04,1997-04-16,43.0,muscle,medium,Lorenzo Williams,2000,F-C,6-9,200.0,Stetson University,8,3
placed on il with flu  sore knees p,1998-01-02,1998-04-20,108.0,joint,long,Lorenzo Williams,2000,F-C,6-9,200.0,Stetson University,8,4
placed on ir with stress fractures in both feet,1999-02-03,1999-05-05,91.0,bone,long,Lorenzo Williams,2000,F-C,6-9,200.0,Stetson University,8,5
placed on ir recovery from knee surgery,1999-11-01,2000-01-19,79.0,joint,long,Lorenzo Williams,2000,F-C,6-9,200.0,Stetson University,8,6
placed on il with fluid in right knee,2000-02-28,,,joint,unknown,Lorenzo Williams,2000,F-C,6-9,200.0,Stetson University,8,7
placed on il with flu,2009-12-05,2009-12-08,3.0,illness,short,Lou Amundson,2016,F-C,6-9,220.0,UNLV,10,0
placed on il recovering from surgery to repair fractured right index finger,2010-10-27,2010-12-07,41.0,bone,medium,Lou Amundson,2016,F-C,6-9,220.0,UNLV,10,1
placed on il with sprained left ankle,2011-01-21,2011-01-22,1.0,joint,short,Lou Amundson,2016,F-C,6-9,220.0,UNLV,10,2
placed on il with strained right hamstring,1996-11-02,1996-11-20,18.0,muscle,medium,Lou Roe,1997,F,6-7,220.0,UMass,2,0
placed on il with strained lower back,1996-12-08,1996-12-22,14.0,muscle,medium,Lou Roe,1997,F,6-7,220.0,UMass,2,1
placed on il with sprained right foot,1997-01-08,1997-01-23,15.0,joint,medium,Lou Roe,1997,F,6-7,220.0,UMass,2,2
placed on il with sprained right foot,1997-01-13,1997-01-23,10.0,joint,medium,Lou Roe,1997,F,6-7,220.0,UMass,2,3
placed on il with strained right hamstring,1997-02-12,1997-02-22,10.0,muscle,medium,Lou Roe,1997,F,6-7,220.0,UMass,2,4
placed on il with knee tendinitis,1999-11-01,1999-12-03,32.0,joint,medium,Lou Roe,1997,F,6-7,220.0,UMass,2,5
placed on il recovering from surgery to repair fractured jaw,2009-12-05,2009-12-19,14.0,bone,medium,Lou Williams,2022,G,6-1,175.0,Skipped college,17,0
placed on il with strained right hamstring out for season,2011-04-05,2013-11-15,955.0,muscle,long,Lou Williams,2022,G,6-1,175.0,Skipped college,17,1
placed on il with torn acl in right knee out for season,2013-01-19,2013-11-15,300.0,joint,long,Lou Williams,2022,G,6-1,175.0,Skipped college,17,2
placed on il recovering from surgery on right knee,2013-10-30,2013-11-15,16.0,joint,medium,Lou Williams,2022,G,6-1,175.0,Skipped college,17,3
placed on il with ankle injury,2015-02-21,2015-02-23,2.0,joint,short,Lou Williams,2022,G,6-1,175.0,Skipped college,17,4
placed on il with illness,2016-01-28,2016-01-29,1.0,illness,short,Lou Williams,2022,G,6-1,175.0,Skipped college,17,5
placed on il with strained left hamstring,2016-03-02,2016-03-13,11.0,muscle,medium,Lou Williams,2022,G,6-1,175.0,Skipped college,17,6
placed on il with left hamstring injury,2018-12-13,2018-12-20,7.0,muscle,short,Lou Williams,2022,G,6-1,175.0,Skipped college,17,7
placed on il with right hamstring injury,2019-01-18,2019-01-20,2.0,muscle,short,Lou Williams,2022,G,6-1,175.0,Skipped college,17,8
placed on il with flu,2021-04-26,2021-04-27,1.0,illness,short,Lou Williams,2022,G,6-1,175.0,Skipped college,17,9
placed on il with sore right ankle,2021-10-27,2021-10-28,1.0,joint,short,Lou Williams,2022,G,6-1,175.0,Skipped college,17,10
placed on il with left hamstring injury,2022-02-06,2022-02-11,5.0,muscle,short,Lou Williams,2022,G,6-1,175.0,Skipped college,17,11
placed on il with right ankle injury,2022-03-31,2022-04-02,2.0,joint,short,Lou Williams,2022,G,6-1,175.0,Skipped college,17,12
placed on il with stress fracture in left leg,1994-11-16,1995-01-04,49.0,bone,long,Luc Longley,2001,C,7-2,265.0,New Mexico,10,0
placed on il with sprained left knee,1996-02-01,1996-02-20,19.0,joint,medium,Luc Longley,2001,C,7-2,265.0,New Mexico,10,1
placed on il with tendinitis in both knees  right knee,1996-03-28,1996-04-14,17.0,joint,medium,Luc Longley,2001,C,7-2,265.0,New Mexico,10,2
placed on il with separated left shoulder,1996-12-04,1997-01-14,41.0,joint,medium,Luc Longley,2001,C,7-2,265.0,New Mexico,10,3
placed on il with sprained left knee,1998-03-17,1998-03-28,11.0,joint,medium,Luc Longley,2001,C,7-2,265.0,New Mexico,10,4
placed on il with bone bruise in left knee,1998-04-09,1998-04-20,11.0,joint,medium,Luc Longley,2001,C,7-2,265.0,New Mexico,10,5
placed on ir with chondromalacia right knee,2000-10-30,2000-11-24,25.0,joint,medium,Luc Longley,2001,C,7-2,265.0,New Mexico,10,6
placed on ir with sprained left ankle  sore back,2001-03-06,2001-07-01,117.0,joint,long,Luc Longley,2001,C,7-2,265.0,New Mexico,10,7
placed on il with sprained left foot,2009-11-18,2009-11-20,2.0,joint,short,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,0
placed on il with sprained left foot,2009-11-23,2009-12-04,11.0,joint,medium,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,1
placed on il with patellar tendinitis in right knee,2011-12-26,2012-01-02,7.0,joint,short,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,2
placed on il with right knee tendinitis,2012-01-10,2012-01-12,2.0,joint,short,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,3
placed on il with right knee tendinitis,2012-01-16,2012-01-20,4.0,joint,short,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,4
placed on il with right knee injury,2012-04-07,2012-04-09,2.0,joint,short,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,5
placed on il with sore right knee out for season,2012-04-23,2012-12-01,222.0,joint,long,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,6
placed on il recovering from surgery on right knee,2012-11-02,2012-12-01,29.0,joint,medium,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,7
placed on il with illness,2013-04-01,2013-04-03,2.0,illness,short,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,8
placed on il with strained left groin,2014-01-08,2014-01-10,2.0,muscle,short,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,9
placed on il with illness,2017-11-16,2017-11-18,2.0,illness,short,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,10
placed on il with dislocated right shoulder,2017-12-15,2018-01-15,31.0,joint,medium,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,11
placed on il with sore left knee,2018-03-27,2018-03-30,3.0,joint,short,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,12
placed on il with dislocated right shoulder,2018-04-11,2018-04-29,18.0,joint,medium,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,13
placed on il with sore left knee,2018-10-26,2019-04-07,163.0,joint,long,Luc Mbah a Moute,2020,F,6-8,230.0,UCLA,12,14
placed on il with ankle injury,2015-12-07,2015-12-09,2.0,joint,short,Lucas Nogueira,2018,C,7-0,241.0,Skipped college,4,0
placed on il with concussion,2017-01-18,2017-01-22,4.0,concussion,short,Lucas Nogueira,2018,C,7-0,241.0,Skipped college,4,1
placed on il with strained right calf,2017-12-01,2017-12-26,25.0,muscle,medium,Lucas Nogueira,2018,C,7-0,241.0,Skipped college,4,2
placed on il with tightness in left hamstring,2018-04-09,2018-04-11,2.0,muscle,short,Lucas Nogueira,2018,C,7-0,241.0,Skipped college,4,3
placed on ir with fractured wrist,1996-01-10,1996-02-05,26.0,bone,medium,Lucious Harris,2005,G,6-5,190.0,Cal State Long Beach,12,0
